年月,猪肉价格,调整猪肉价格,hp_g,hp_c
2002-03-01,5.8,5.8,5.638089914396126,0.16191008558962494
2002-06-01,5.92,5.92,5.877728756508864,0.04227124348835787
2002-09-01,6.1,6.1,6.117468792425097,-0.017468792415456846
2002-12-01,6.0,6.0,6.3574376354755,-0.3574376354517881
2003-03-01,6.09,6.017786561264822,6.597751980995479,-0.5077519810147351
2003-06-01,6.56,6.482213438735178,6.838305125798275,-0.2783051257865736
2003-09-01,7.02,6.936758893280632,7.07867302170899,-0.058673021718277596
2003-12-01,8.2,8.10276679841897,7.3182576798491095,0.8817423201398924
2004-03-01,8.55,8.131488547440341,7.5564244407015515,0.9935755593032809
2004-06-01,8.67,8.245614702492135,7.793089733699331,0.8769102662772639
2004-09-01,9.66,9.187155481669437,8.028790973000023,1.6312090270221233
2004-12-01,9.37,8.911350606960934,8.264613641677638,1.1053863583365455
2005-03-01,8.8,8.22126853680247,8.502662728448069,0.29733727154962253
2005-06-01,8.36,7.810205109962345,8.745734088501163,-0.38573408852971625
2005-09-01,7.54,7.0441323599421155,8.996809412821488,-1.4568094128044322
2005-12-01,7.41,6.922681802012079,9.258629308588285,-1.848629308587988
2006-03-01,6.49,5.973581818612631,9.533023877097788,-3.043023877107771
2006-06-01,6.26,5.761883233361336,9.820667826328357,-3.5606678263138747
2006-09-01,8.09,7.446267629056424,10.120333974335157,-2.030333974340465
2006-12-01,8.9,8.191814820593592,10.428569721781908,-1.5285697217914276
2007-03-01,9.0,7.9044443547197805,10.740653510598367,-1.7406535105546936
2007-06-01,12.0,10.539259139626374,11.050908426638172,0.9490915733331349
2007-09-01,13.33,11.707360360934963,11.352569647310851,1.9774303527083248
2007-12-01,16.34,14.350957861791246,11.639465532259273,4.700534467730904
2008-03-01,17.4,14.430524789856694,11.906660335096745,5.493339664913947
2008-06-01,15.6,12.937711880561176,12.15215614347891,3.44784385652747
2008-09-01,13.01,10.789719972185955,12.377388382351981,0.6326116176496726
2008-12-01,13.5,11.196096819716402,12.58594737907249,0.9140526209084783
2009-03-01,11.8,9.855204391679052,12.781818843258007,-0.9818188432254829
2009-06-01,9.73,8.126367689070948,12.969559767414173,-3.2395597673603334
2009-09-01,12.14,10.139167908049467,13.153113507269602,-1.0131135072733741
2009-12-01,11.97,9.997186149864259,13.33439869369828,-1.364398693665862
2010-03-01,10.46,8.456973922995626,13.514700761632149,-3.054700761626009
2010-06-01,9.8,7.9233598896134945,13.694452396819589,-3.89445239683846
2010-09-01,12.8,10.348878223168645,13.872177097032942,-1.072177097084932
2010-12-01,14.13,11.424191351044762,14.043964327296543,0.08603567269165069
2011-03-01,15.13,11.605974821849918,14.205233441949058,0.9247665580478497
2011-06-01,17.36,13.316571243047889,14.351457567624603,3.0085424323624466
2011-09-01,20.21,15.502759494354715,14.478687810056067,5.73131218997878
2011-12-01,16.71,12.817966905030543,14.584855613996568,2.125144385994645
2012-03-01,16.02,11.977270197987531,14.671474494317948,1.348525505658472
2012-06-01,13.94,10.422168948810624,14.741386181133294,-0.8013861811195966
2012-09-01,14.88,11.124955090265573,14.798275232996737,0.0817247669911012
2012-12-01,15.42,11.5286832991865,14.845325342099207,0.5746746578952298
2013-03-01,14.52,10.578642517038542,14.885771278611,-0.3657712785934564
2013-06-01,14.19,10.338218823469484,14.923206984363592,-0.7332069843541831
2013-09-01,16.14,11.758904285468462,14.960997794139335,1.179002205899451
2013-12-01,16.02,11.671477487806987,15.002050788355334,1.0179492116440088
2014-03-01,12.41,8.864105874010715,15.050009923807378,-2.640009923838079
2014-06-01,13.4,9.571234384507944,15.109155375548541,-1.709155375516275
2014-09-01,15.23,10.87835072209373,15.182117312429504,0.04788268753327429
2014-12-01,14.1,10.071224240415075,15.27045768119126,-1.1704576811753213
2015-03-01,12.41,8.741721769241336,15.375768355254499,-2.9657683553232346
2015-06-01,14.65,10.319599026541947,15.498909671989178,-0.8489096719713416
2015-09-01,18.37,12.940002328844749,15.638888363543195,2.7311116364144254
2015-12-01,16.68,11.749550290970626,15.794180593519464,0.8858194065105636
2016-03-01,18.28,12.624123014467429,15.964969470293665,2.3150305296876468
2016-06-01,21.03,14.52326624695022,16.151991739370537,4.878008260682691
2016-09-01,18.66,12.886550079319596,16.357431040335868,2.302568959625205
2016-12-01,17.25,11.912807549210237,16.58651976793837,0.6634802320913877
2017-03-01,17.02,11.568868223642488,16.84592942252652,0.17407057745731436
2017-06-01,13.43,9.128666289278414,17.14274617959385,-3.7127461795753334
2017-09-01,14.91,10.134654830464717,17.484165008744803,-2.5741650087584276
2017-12-01,14.96,10.16864092982912,17.875060413221572,-2.915060413215542
2018-03-01,12.27,8.168647192971877,18.318698043135882,-6.048698043188779
2018-06-01,11.4,7.5894521597293725,18.816521635841195,-7.416521635779645
2018-09-01,14.4,9.586676412289734,19.36619449241399,-4.966194492473733
2018-12-01,14.21,9.460185542960911,19.96074458790838,-5.750744587887311
2019-03-01,13.02,8.423666915560707,20.590096025820696,-7.570096025825478
2019-06-01,15.63,10.112282172827484,21.24057869427982,-5.6105786942644045
2019-09-01,26.32,17.02848795833777,21.893791171398494,4.426208828634117
2019-12-01,33.96,21.971407715241288,22.52782542360555,11.432174576329999
2020-03-01,35.86,22.634797916301896,23.12353979784769,12.736460202140734
2020-06-01,30.33,19.144267172376924,23.668937750181847,6.661062249680981
2020-09-01,36.95,23.322804880294346,24.15998302429132,12.790016975719482
2020-12-01,31.92,20.147873661136547,24.596802527765526,7.323197472200263
2021-03-01,30.24,18.917204418155432,24.987516928803696,5.2524830711772665
2021-06-01,19.08,11.935855168598069,25.344823894025225,-6.264823894074652
2021-09-01,14.96,9.358511180410227,25.684703891969,-10.7247038919013
2021-12-01,17.44,10.90992212475631,26.01922187624013,-8.57922187623626
